Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	5.5	0.6475	0.6738	-0.04	0	99.6562	0.5	0.0251	0.03	0.026	0	0.3437	0.129019469928644	125
Pop	109	5.75	0.6512	0.6562	-0.005	0	99.885	0.4532	0.0255	0.0351	0.0223	0	0.115	0.124846602106694	126
Pop	109	5.75	0.6525	0.6838	-0.0462	0	99.7712	0.491	0.0314	0.0398	0.0329	0	0.2287	0.1297875127421	127
Pop	109	6	0.6488	0.6575	-0.0125	0	99.885	0.378	0.0277	0.0326	0.0153	0	0.115	0.132095820591233	128
Pop	109	5.75	0.6525	0.6612	-0.0137	0	99.7712	0.491	0.045	0.0494	0.0241	0	0.2287	0.129924804621135	129
Pop	109	5.75	0.6362	0.6338	0.0038	0	99.7712	0.491	0.0293	0.0351	0.0246	0	0.2287	0.129123768263677	130
Pop	109	6	0.645	0.6938	-0.0762	0	100	0.378	0.0302	0.0335	0.0167	0	0	0.121202480462113	131
Pop	109	5.875	0.6538	0.6637	-0.0175	0	99.0825	0.5154	0.0265	0.0285	0.0244	0	0.9175	0.128922833843017	132
Pop	109	6	0.6425	0.6587	-0.0238	0	99.0825	0.4629	0.0289	0.0346	0.0234	0	0.9175	0.129796092422698	133
Pop	109	5.75	0.64	0.6438	-0.005	0	98.395	0.559	0.0309	0.0383	0.025	0	1.605	0.142127166156983	134
Pop	109	6	0.6325	0.6388	-0.0112	0	99.885	0.378	0.0271	0.0314	0.0315	0	0.115	0.131208256880734	135
Pop	109	5.875	0.66	0.6725	-0.0162	0	99.6562	0.4407	0.0276	0.0348	0.0262	0	0.3437	0.128226673462453	136
Pop	109	6	0.6538	0.67	-0.0225	0	99.4262	0.4629	0.0278	0.0359	0.0306	0	0.5738	0.132748793747876	137
Pop	109	6.125	0.665	0.6688	-0.005	0	99.885	0.4407	0.0287	0.0324	0.0154	0	0.115	0.128607679238872	138
Pop	109	5.75	0.65	0.6688	-0.0262	0	99.7712	0.366	0.0313	0.0391	0.0222	0	0.2287	0.129816038056405	139
Pop	109	6	0.645	0.6862	-0.06	0	100	0.4629	0.0276	0.0432	0.0305	0	0	0.126017431192661	140
Pop	109	5.875	0.6575	0.6812	-0.0388	0	99.5413	0.5154	0.0332	0.0301	0.0199	0	0.4588	0.123333197417601	141
Pop	109	6.125	0.635	0.6375	-0.0025	0	99.7712	0.4407	0.034	0.037	0.0144	0	0.2287	0.133414424057085	142
Pop	109	5.75	0.6512	0.6612	-0.015	0	99.6562	0.366	0.0257	0.0347	0.029	0	0.3437	0.130894818212708	143
Pop	109	5.75	0.6475	0.6762	-0.0362	0	98.165	0.491	0.0299	0.0451	0.0317	0	1.835	0.12712336051648	144
Pop	109	6	0.6562	0.6738	-0.0238	0	99.5413	0.4629	0.0286	0.0371	0.0224	0	0.4588	0.129905470608223	145
Pop	109	6	0.6312	0.6013	0.0488	0	100	0.378	0.0337	0.0372	0.0237	0	0	0.135952922188243	146
Pop	109	6	0.6575	0.6688	-0.02	0	100	0.4629	0.0236	0.0247	0.0305	0	0	0.131878831124703	147
Pop	109	6.125	0.6412	0.6675	-0.04	0	99.4262	0.4407	0.0271	0.0318	0.0118	0	0.5738	0.128402276588515	148
Pop	109	6	0.655	0.66	-0.0025	0	99.5413	0.4629	0.0345	0.0418	0.0239	0	0.4588	0.129040180088345	149
Pop	109	6	0.67	0.6775	-0.0125	0	99.5413	0.4629	0.0292	0.03	0.0205	0	0.4588	0.132000577641862	150
Pop	109	5.5	0.6575	0.66	0	0	99.6562	0.5	0.0305	0.0428	0.0283	0	0.3437	0.139091997961264	151
Pop	109	6	0.6562	0.6725	-0.0213	0	99.0825	0.378	0.0246	0.0333	0.0233	0	0.9175	0.132548199116548	152
Pop	109	5.75	0.6462	0.6475	-0.0012	0	96.9038	0.491	0.0254	0.0353	0.0296	0	3.0962	0.142294104655114	153
Pop	109	6	0.6462	0.6562	-0.0162	0	99.0825	0.4629	0.0234	0.0273	0.0304	0	0.9175	0.139955980292219	154
Pop	109	5.875	0.6587	0.67	-0.015	0	97.9363	0.4407	0.0259	0.0331	0.0199	0	2.0638	0.134146160380564	155
Pop	109	6	0.6537	0.6775	-0.0338	0	99.6562	0.4629	0.0256	0.0394	0.0249	0	0.3437	0.123529850492695	156
Pop	109	6	0.66	0.6938	-0.0488	0	99.0825	0.378	0.0274	0.0356	0.0232	0	0.9175	0.126112385321101	157
Pop	109	5.875	0.66	0.6675	-0.0125	0	99.6562	0.3981	0.0269	0.0294	0.0171	0	0.3437	0.131217108392796	158
Pop	109	5.875	0.64	0.6812	-0.0612	0	99.7712	0.5154	0.0313	0.041	0.0242	0	0.2287	0.122744512402311	159
Pop	109	5.875	0.6512	0.665	-0.015	0	99.4262	0.3981	0.0279	0.0431	0.0301	0	0.5738	0.130658426775399	160
Pop	109	6	0.6562	0.6562	0.0012	0	99.7712	0.378	0.0318	0.0384	0.0207	0	0.2287	0.133130632008155	161
Pop	109	6.125	0.6588	0.6975	-0.0638	0	98.9675	0.4407	0.0239	0.0216	0.0235	0	1.0325	0.130534437648658	162
Pop	109	5.875	0.6512	0.665	-0.0188	0	99.885	0.4407	0.0279	0.0363	0.0316	0	0.115	0.125715545361876	163
Pop	109	6.125	0.6688	0.6875	-0.025	0	99.885	0.4407	0.0271	0.0383	0.0251	0	0.115	0.125511892626572	164
Pop	109	5.875	0.6362	0.64	-0.0025	0	100	0.3981	0.0336	0.0385	0.0167	0	0	0.132149422358138	1
Pop	109	6	0.6675	0.7038	-0.0488	0	99.6562	0.378	0.0278	0.0382	0.0175	0	0.3437	0.12356503567788	2
Pop	109	5.75	0.6375	0.6637	-0.0412	0	98.165	0.4532	0.0296	0.0362	0.0295	0	1.835	0.140553007135576	3
Pop	109	5.875	0.6612	0.6775	-0.0238	0	99.885	0.3981	0.0247	0.0313	0.0173	0	0.115	0.126388956846755	4
Pop	109	6	0.6675	0.68	-0.0175	0	100	0.4629	0.0242	0.0291	0.0236	0	0	0.129392133876996	5
Pop	109	5.75	0.64	0.6312	0.0162	0	99.3125	0.4532	0.0282	0.0348	0.025	0	0.6875	0.148015545361876	6
Pop	109	5.375	0.6587	0.685	-0.0375	0	99.1975	0.4605	0.0291	0.0359	0.0217	0	0.8025	0.131102123683316	7
Pop	109	5.625	0.6538	0.6625	-0.0112	0	98.5087	0.4199	0.0285	0.0372	0.0262	0	1.4913	0.137301240231057	8
Pop	109	6.125	0.6438	0.6838	-0.06	0	100	0.4407	0.0302	0.0341	0.0246	0	0	0.121996738022426	9
Pop	109	5.5	0.6562	0.6575	-0.005	0	99.7712	0.4226	0.0298	0.0292	0.0304	0	0.2287	0.130560210669385	10
Pop	109	5.875	0.6525	0.6812	-0.0475	0	99.6562	0.3981	0.0248	0.0308	0.0389	0	0.3437	0.128066836561332	11
Pop	109	5.5	0.6412	0.6612	-0.0288	0	99.6562	0.4226	0.0256	0.0368	0.025	0	0.3437	0.140446415222562	12
Pop	109	6	0.6362	0.6425	-0.0112	0	98.8538	0.4629	0.0295	0.0319	0.0336	0	1.1463	0.136360788311247	13
Pop	109	5.75	0.6625	0.7088	-0.0725	0	98.8538	0.491	0.0312	0.031	0.0157	0	1.1463	0.127655317703024	14
Pop	109	5.625	0.6475	0.6662	-0.0325	0	99.885	0.4978	0.0297	0.033	0.0254	0	0.115	0.13015538566089	15
Pop	109	5.75	0.6462	0.6762	-0.0425	0	99.885	0.559	0.0325	0.0422	0.0227	0	0.115	0.124478338430173	16
Pop	109	6.125	0.6638	0.6812	-0.02	0	98.8538	0.4407	0.0283	0.0394	0.0194	0	1.1463	0.129087088005437	17
Pop	109	6.125	0.67	0.6888	-0.0262	0	99.7712	0.4407	0.0267	0.0337	0.0263	0	0.2287	0.120746602106694	18
Pop	109	6.125	0.655	0.6675	-0.015	0	99.1975	0.4407	0.0252	0.0371	0.0243	0	0.8025	0.129212181447503	19
Pop	109	5.625	0.6625	0.7038	-0.0625	0	99.5413	0.4199	0.0267	0.0337	0.0212	0	0.4588	0.127778185524975	20
Pop	109	5.875	0.6362	0.6538	-0.0312	0	99.5413	0.5489	0.0267	0.0228	0.0265	0	0.4588	0.124858171933401	21
Pop	109	5.875	0.6375	0.625	0.0212	0	100	0.3981	0.027	0.0321	0.0322	0	0	0.131283180428135	22
Pop	109	5.875	0.655	0.6975	-0.0638	0	99.7712	0.3981	0.0276	0.033	0.0187	0	0.2287	0.124000798504927	23
Pop	109	6	0.6412	0.665	-0.035	0	99.885	0.4629	0.0295	0.0395	0.0282	0	0.115	0.126273853211009	24
Pop	109	5.875	0.6562	0.6962	-0.0625	0	98.9675	0.5154	0.0268	0.0337	0.0285	0	1.0325	0.125627064220183	25
Pop	109	5.875	0.645	0.6725	-0.045	0	98.395	0.3981	0.0256	0.0335	0.033	0	1.605	0.128642201834862	26
Pop	109	6	0.6512	0.6638	-0.0213	0	98.7387	0.378	0.0262	0.0346	0.0269	0	1.2613	0.130896245327897	27
Pop	109	6	0.675	0.6725	0.0038	0	99.7712	0.378	0.0275	0.0312	0.0198	0	0.2287	0.132388939857288	28
Pop	109	5.875	0.6538	0.6788	-0.0375	0	99.885	0.3981	0.0276	0.0348	0.0198	0	0.115	0.124279323819232	29
Pop	109	6.125	0.655	0.6388	0.0288	0	99.4262	0.4407	0.0341	0.0429	0.022	0	0.5738	0.13329667006456	30
Pop	109	6	0.6488	0.6762	-0.0438	0	99.885	0.378	0.0331	0.0362	0.0245	0	0.115	0.123262011552837	31
Pop	109	5.875	0.6475	0.6512	-0.005	0	99.7712	0.3981	0.0288	0.0343	0.0231	0	0.2287	0.129839313625552	32
Pop	109	5.625	0.645	0.655	-0.0138	0	98.395	0.4605	0.0271	0.0341	0.0195	0	1.605	0.129435083248386	33
Pop	109	6.125	0.6525	0.6562	-0.0063	0	100	0.4407	0.0322	0.0366	0.0295	0	0	0.13055161399932	34
Pop	109	6.125	0.6587	0.68	-0.0288	0	99.3125	0.4407	0.0301	0.0379	0.0163	0	0.6875	0.124446772001359	35
Pop	109	5.75	0.635	0.6362	-0.0013	0	99.885	0.491	0.0293	0.0329	0.0188	0	0.115	0.131981957186544	36
Pop	109	5.75	0.6462	0.6512	-0.0012	0	99.885	0.491	0.0306	0.0467	0.0375	0	0.115	0.13552375127421	37
Pop	109	5.75	0.6362	0.6362	-0.0038	0	100	0.3134	0.0265	0.0213	0.0184	0	0	0.13452708120965	38
Pop	109	5.75	0.6425	0.6188	0.04	0	99.885	0.4532	0.0346	0.0467	0.039	0	0.115	0.144512962962963	39
Pop	109	6.125	0.66	0.6788	-0.0288	0	99.5413	0.4407	0.0242	0.0252	0.0206	0	0.4588	0.128149235474006	40
