Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	9	0.7375	0.7412	-0.0025	0	99.6562	0.982	0.0266	0.0322	0.016	0	0.3437	0.101984913353721	82
Pop	109	8.875	0.745	0.77	-0.0338	0	99.7712	0.9342	0.024	0.0242	0.0148	0	0.2287	0.0981230716955488	83
Pop	109	8.625	0.71	0.705	0.01	0	99.6562	0.8851	0.0311	0.0383	0.0214	0	0.3437	0.109186697247706	84
Pop	109	8.875	0.695	0.72	-0.0375	0	100	1.0078	0.0334	0.0336	0.0193	0	0	0.101543764865783	85
Pop	109	9	0.74	0.7575	-0.0225	0	99.885	0.982	0.0274	0.0328	0.0152	0	0.115	0.105554247366633	86
Pop	109	8.5	0.7275	0.7338	-0.005	0	99.6562	1.0177	0.0288	0.0362	0.0184	0	0.3437	0.103436748216106	87
Pop	109	8.75	0.7475	0.7788	-0.0438	0	99.885	0.921	0.0264	0.0316	0.0281	0	0.115	0.0968349813115868	88
Pop	109	9	0.7325	0.7425	-0.0112	0	100	0.8864	0.0268	0.0322	0.0111	0	0	0.0978172782874618	89
Pop	109	8.75	0.7062	0.73	-0.03	0	99.5413	0.959	0.0296	0.0398	0.0158	0	0.4588	0.109643068297655	90
Pop	109	9	0.725	0.7325	-0.0088	0	99.7712	1	0.0271	0.0245	0.0138	0	0.2287	0.109192524634726	91
Pop	109	8.625	0.7188	0.7388	-0.0288	0	100	0.9246	0.0255	0.0311	0.0214	0	0	0.103106540944614	92
Pop	109	8.75	0.7163	0.7338	-0.025	0	99.5413	0.8399	0.0276	0.0297	0.0283	0	0.4588	0.103193238192321	93
Pop	109	9.125	0.7475	0.7662	-0.0225	0	99.5413	0.9717	0.0249	0.0294	0.0096	0	0.4588	0.101049643221203	94
Pop	109	8.625	0.7262	0.7512	-0.0338	0	99.885	0.8647	0.0299	0.034	0.0122	0	0.115	0.0975659870880054	95
Pop	109	8.375	0.7375	0.7375	-0.0025	0	99.6562	0.9246	0.027	0.024	0.0144	0	0.3437	0.104697162759089	96
Pop	109	9	0.7225	0.725	-0.0025	0	99.885	0.982	0.0264	0.0308	0.0146	0	0.115	0.102604740061162	97
Pop	109	8.5	0.7362	0.7412	-0.0062	0	99.885	0.9636	0.025	0.0381	0.0398	0	0.115	0.109752242609582	98
Pop	109	9	0.7437	0.7625	-0.0213	0	99.6562	0.8864	0.0299	0.0394	0.0188	0	0.3437	0.0986256031260618	99
Pop	109	8.75	0.7488	0.7562	-0.01	0	99.885	0.9774	0.0242	0.0271	0.0138	0	0.115	0.10371958885491	100
Pop	109	8.75	0.7312	0.755	-0.0325	0	99.6562	0.921	0.0261	0.0268	0.017	0	0.3437	0.101013693510024	101
Pop	109	9	0.7362	0.7438	-0.0138	0	99.1975	0.9258	0.0303	0.0267	0.0215	0	0.8025	0.107619079170914	102
Pop	109	8.5	0.7338	0.7375	-0.005	0	99.7712	0.9636	0.0279	0.0331	0.0131	0	0.2287	0.113386340468909	103
