uk.mom	uk.dad	mom.disc	dad.disc	noff	mom.p.disc	dad.p.disc	file
1	2	5	2	109	0.05	0.02	BestConfig.374.txt
0	0	1	3	109	0.01	0.03	BestConfig.375.txt
2	1	3	2	109	0.03	0.02	BestConfig.376.txt
3	0	2	2	109	0.02	0.02	BestConfig.377.txt
2	0	1	1	109	0.01	0.01	BestConfig.378.txt
0	3	8	0	109	0.07	0	BestConfig.379.txt
1	2	5	3	109	0.05	0.03	BestConfig.38.txt
0	2	2	2	109	0.02	0.02	BestConfig.380.txt
1	1	4	1	109	0.04	0.01	BestConfig.381.txt
1	4	2	2	109	0.02	0.02	BestConfig.382.txt
3	1	3	4	109	0.03	0.04	BestConfig.383.txt
0	0	3	2	109	0.03	0.02	BestConfig.384.txt
0	4	3	1	109	0.03	0.01	BestConfig.385.txt
0	1	2	2	109	0.02	0.02	BestConfig.386.txt
1	0	2	2	109	0.02	0.02	BestConfig.387.txt
0	2	2	1	109	0.02	0.01	BestConfig.388.txt
0	1	2	2	109	0.02	0.02	BestConfig.389.txt
0	2	2	2	109	0.02	0.02	BestConfig.39.txt
1	0	4	4	109	0.04	0.04	BestConfig.390.txt
0	0	2	3	109	0.02	0.03	BestConfig.391.txt
2	2	3	3	109	0.03	0.03	BestConfig.392.txt
1	4	4	4	109	0.04	0.04	BestConfig.393.txt
0	1	3	2	109	0.03	0.02	BestConfig.394.txt
0	3	5	4	109	0.05	0.04	BestConfig.395.txt
1	0	5	5	109	0.05	0.05	BestConfig.396.txt
0	2	4	4	109	0.04	0.04	BestConfig.397.txt
3	0	3	2	109	0.03	0.02	BestConfig.398.txt
0	2	1	2	109	0.01	0.02	BestConfig.399.txt
1	0	3	1	109	0.03	0.01	BestConfig.4.txt
0	1	1	1	109	0.01	0.01	BestConfig.40.txt
1	0	2	2	109	0.02	0.02	BestConfig.400.txt
1	0	3	2	109	0.03	0.02	BestConfig.401.txt
0	1	5	2	109	0.05	0.02	BestConfig.402.txt
2	1	1	1	109	0.01	0.01	BestConfig.403.txt
1	0	3	3	109	0.03	0.03	BestConfig.404.txt
0	0	3	3	109	0.03	0.03	BestConfig.405.txt
2	5	2	2	109	0.02	0.02	BestConfig.406.txt
2	0	4	2	109	0.04	0.02	BestConfig.407.txt
0	0	8	0	109	0.07	0	BestConfig.408.txt
2	3	2	2	109	0.02	0.02	BestConfig.409.txt
4	2	3	1	109	0.03	0.01	BestConfig.41.txt
3	1	3	1	109	0.03	0.01	BestConfig.410.txt
2	0	5	1	109	0.05	0.01	BestConfig.411.txt
1	5	3	4	109	0.03	0.04	BestConfig.412.txt
0	1	2	3	109	0.02	0.03	BestConfig.413.txt
1	1	2	3	109	0.02	0.03	BestConfig.414.txt
2	0	5	0	109	0.05	0	BestConfig.415.txt
0	1	1	2	109	0.01	0.02	BestConfig.416.txt
1	0	4	2	109	0.04	0.02	BestConfig.418.txt
2	2	0	7	109	0	0.07	BestConfig.419.txt
0	1	3	3	109	0.03	0.03	BestConfig.42.txt
0	3	1	1	109	0.01	0.01	BestConfig.420.txt
0	2	5	4	109	0.05	0.04	BestConfig.421.txt
0	0	3	1	109	0.03	0.01	BestConfig.422.txt
4	1	5	3	109	0.05	0.03	BestConfig.423.txt
1	0	0	1	109	0	0.01	BestConfig.424.txt
2	1	3	1	109	0.03	0.01	BestConfig.426.txt
1	1	2	2	109	0.02	0.02	BestConfig.427.txt
3	1	4	0	109	0.04	0	BestConfig.428.txt
3	1	6	3	109	0.06	0.03	BestConfig.429.txt
3	0	3	6	109	0.03	0.06	BestConfig.43.txt
1	0	2	1	109	0.02	0.01	BestConfig.430.txt
0	1	2	2	109	0.02	0.02	BestConfig.431.txt
3	2	2	0	109	0.02	0	BestConfig.432.txt
1	1	3	3	109	0.03	0.03	BestConfig.433.txt
0	1	4	4	109	0.04	0.04	BestConfig.434.txt
0	1	4	2	109	0.04	0.02	BestConfig.435.txt
1	0	3	4	109	0.03	0.04	BestConfig.436.txt
1	2	2	3	109	0.02	0.03	BestConfig.437.txt
0	0	5	4	109	0.05	0.04	BestConfig.438.txt
1	1	6	3	109	0.06	0.03	BestConfig.439.txt
2	0	6	2	109	0.06	0.02	BestConfig.44.txt
2	0	1	4	109	0.01	0.04	BestConfig.440.txt
0	1	4	2	109	0.04	0.02	BestConfig.441.txt
0	0	5	4	109	0.05	0.04	BestConfig.442.txt
0	2	1	2	109	0.01	0.02	BestConfig.443.txt
0	1	5	1	109	0.05	0.01	BestConfig.444.txt
2	1	5	2	109	0.05	0.02	BestConfig.445.txt
0	0	1	2	109	0.01	0.02	BestConfig.446.txt
0	0	1	0	109	0.01	0	BestConfig.447.txt
1	1	4	1	109	0.04	0.01	BestConfig.448.txt
3	1	4	4	109	0.04	0.04	BestConfig.449.txt
0	0	4	1	109	0.04	0.01	BestConfig.45.txt
0	0	4	1	109	0.04	0.01	BestConfig.451.txt
0	5	5	3	109	0.05	0.03	BestConfig.452.txt
0	4	4	0	109	0.04	0	BestConfig.453.txt
0	0	1	1	109	0.01	0.01	BestConfig.454.txt
0	0	3	1	109	0.03	0.01	BestConfig.455.txt
2	2	2	0	109	0.02	0	BestConfig.456.txt
1	3	6	6	109	0.06	0.06	BestConfig.457.txt
1	0	6	3	109	0.06	0.03	BestConfig.458.txt
4	1	4	1	109	0.04	0.01	BestConfig.459.txt
0	0	1	2	109	0.01	0.02	BestConfig.46.txt
0	0	1	0	109	0.01	0	BestConfig.460.txt
2	0	3	0	109	0.03	0	BestConfig.461.txt
1	3	2	3	109	0.02	0.03	BestConfig.462.txt
3	2	2	1	109	0.02	0.01	BestConfig.463.txt
2	2	2	1	109	0.02	0.01	BestConfig.464.txt
0	2	2	2	109	0.02	0.02	BestConfig.465.txt
1	2	6	3	109	0.06	0.03	BestConfig.466.txt
0	0	1	0	109	0.01	0	BestConfig.467.txt
0	0	1	4	109	0.01	0.04	BestConfig.468.txt
0	2	3	3	109	0.03	0.03	BestConfig.469.txt
0	1	2	3	109	0.02	0.03	BestConfig.47.txt
0	2	2	1	109	0.02	0.01	BestConfig.470.txt
0	0	4	2	109	0.04	0.02	BestConfig.471.txt
3	0	2	1	109	0.02	0.01	BestConfig.472.txt
3	0	3	3	109	0.03	0.03	BestConfig.473.txt
1	0	1	2	109	0.01	0.02	BestConfig.474.txt
0	0	5	3	109	0.05	0.03	BestConfig.476.txt
0	4	3	2	109	0.03	0.02	BestConfig.477.txt
1	1	4	3	109	0.04	0.03	BestConfig.478.txt
1	2	4	2	109	0.04	0.02	BestConfig.479.txt
0	0	5	0	109	0.05	0	BestConfig.48.txt
4	2	5	1	109	0.05	0.01	BestConfig.480.txt
3	2	4	2	109	0.04	0.02	BestConfig.481.txt
1	4	2	3	109	0.02	0.03	BestConfig.483.txt
0	0	2	0	109	0.02	0	BestConfig.484.txt
0	2	2	4	109	0.02	0.04	BestConfig.485.txt
0	0	1	0	109	0.01	0	BestConfig.486.txt
1	5	4	2	109	0.04	0.02	BestConfig.487.txt
0	2	2	7	109	0.02	0.07	BestConfig.489.txt
0	2	3	2	109	0.03	0.02	BestConfig.49.txt
0	2	5	4	109	0.05	0.04	BestConfig.490.txt
1	2	5	4	109	0.05	0.04	BestConfig.491.txt
0	0	9	1	109	0.08	0.01	BestConfig.492.txt
0	0	0	1	109	0	0.01	BestConfig.493.txt
2	2	5	1	109	0.05	0.01	BestConfig.494.txt
0	0	4	3	109	0.04	0.03	BestConfig.495.txt
0	1	2	4	109	0.02	0.04	BestConfig.496.txt
0	1	2	1	109	0.02	0.01	BestConfig.497.txt
0	0	2	1	109	0.02	0.01	BestConfig.498.txt
3	0	0	4	109	0	0.04	BestConfig.499.txt
3	0	0	0	109	0	0	BestConfig.5.txt
1	0	3	2	109	0.03	0.02	BestConfig.50.txt
0	1	2	1	109	0.02	0.01	BestConfig.501.txt
1	0	3	1	109	0.03	0.01	BestConfig.502.txt
2	2	6	3	109	0.06	0.03	BestConfig.503.txt
2	3	4	1	109	0.04	0.01	BestConfig.504.txt
0	0	5	5	109	0.05	0.05	BestConfig.505.txt
0	0	1	5	109	0.01	0.05	BestConfig.507.txt
3	1	1	3	109	0.01	0.03	BestConfig.509.txt
3	2	1	6	109	0.01	0.06	BestConfig.51.txt
1	0	1	2	109	0.01	0.02	BestConfig.510.txt
2	0	3	2	109	0.03	0.02	BestConfig.511.txt
0	0	1	0	109	0.01	0	BestConfig.512.txt
1	2	1	3	109	0.01	0.03	BestConfig.513.txt
0	4	4	2	109	0.04	0.02	BestConfig.514.txt
1	1	2	5	109	0.02	0.05	BestConfig.515.txt
0	2	2	3	109	0.02	0.03	BestConfig.517.txt
0	1	1	1	109	0.01	0.01	BestConfig.518.txt
0	1	5	4	109	0.05	0.04	BestConfig.519.txt
0	2	2	1	109	0.02	0.01	BestConfig.52.txt
2	0	4	5	109	0.04	0.05	BestConfig.520.txt
6	0	6	1	109	0.06	0.01	BestConfig.521.txt
1	0	3	1	109	0.03	0.01	BestConfig.522.txt
1	0	4	1	109	0.04	0.01	BestConfig.523.txt
2	0	2	2	109	0.02	0.02	BestConfig.524.txt
1	0	3	3	109	0.03	0.03	BestConfig.525.txt
0	0	4	4	109	0.04	0.04	BestConfig.526.txt
0	3	4	1	109	0.04	0.01	BestConfig.527.txt
1	1	5	2	109	0.05	0.02	BestConfig.528.txt
3	3	6	5	109	0.06	0.05	BestConfig.529.txt
0	0	2	0	109	0.02	0	BestConfig.53.txt
0	1	1	0	109	0.01	0	BestConfig.530.txt
2	1	6	3	109	0.06	0.03	BestConfig.532.txt
0	0	2	5	109	0.02	0.05	BestConfig.533.txt
3	0	2	3	109	0.02	0.03	BestConfig.534.txt
0	1	1	5	109	0.01	0.05	BestConfig.535.txt
1	3	4	4	109	0.04	0.04	BestConfig.536.txt
0	0	2	1	109	0.02	0.01	BestConfig.537.txt
0	0	2	2	109	0.02	0.02	BestConfig.538.txt
0	1	6	2	109	0.06	0.02	BestConfig.539.txt
2	0	3	1	109	0.03	0.01	BestConfig.54.txt
0	4	7	1	109	0.06	0.01	BestConfig.540.txt
1	4	5	2	109	0.05	0.02	BestConfig.541.txt
